CLIENT_ID,FIRST_NAME,LAST_NAME,BIRTH_DATE,AGE,GENDER,MARITAL_STATUS,EMAIL,PHONE_NUMBER,ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,OCCUPATION,ANNUAL_INCOME,NET_WORTH_ESTIMATE,RISK_TOLERANCE,FINANCIAL_GOALS,LIFE_EVENT,JOIN_DATE,LAST_UPDATE_TIMESTAMP
CL_E8579EE274,Ethan,Rogers,1985-08-30,39,Female,Widowed,gwhite@example.net,540.815.1599,015 Day Islands,East Jonathan,IN,33348,USA,"Designer, ceramics/pottery",93742,7499093,Moderate,"[""Home Purchase"", ""Estate Planning""]",Home Purchase,2024-08-06 19:00:13.611,2024-09-05 01:25:28.293
CL_AF6F33D134,Alan,Thomas,1992-10-13,32,Female,Single,melissabyrd@example.com,337-515-7010,64393 Michelle Street Suite 308,Phillipsfurt,AR,84108,USA,"Engineer, maintenance (IT)",172897,4458858,Conservative,"[""Education Funding"", ""Income Generation""]",Home Purchase,2025-02-17 16:00:17.468,2025-02-25 13:32:03.272
CL_74F3248C6E,Amanda,Huffman,1980-08-04,44,Female,Divorced,parksbenjamin@example.net,872-267-7163x1643,02327 Miguel Crest,Laraport,MT,10288,USA,Microbiologist,66230,7603803,Aggressive Growth,"[""Income Generation"", ""Home Purchase""]",Birth of Child,2022-07-26 14:22:58.588,2024-12-04 12:22:42.413
CL_BEABED55FB,William,Gutierrez,1987-09-13,37,Female,Married,jasminefuller@example.net,(524)990-3183,103 Nicole Ridge Suite 661,Christophermouth,AZ,31073,USA,Hydrogeologist,40500,906549,Growth,"[""Retirement Planning""]",,2023-10-27 22:07:06.711,2024-12-05 18:01:18.552
CL_378AB19F97,Edward,Sanchez,1979-01-22,46,Other,Married,david95@example.net,846-348-6831x906,5881 Schmidt Wall Apt. 451,Eugeneburgh,CO,99620,USA,Medical illustrator,403194,9324952,Balanced,"[""Retirement Planning"", ""Tax Optimization"", ""Estate Planning""]",Marriage,2025-03-08 19:19:48.808,2025-03-30 00:35:27.603
CL_B40B2BB2AA,April,Morris,1973-05-08,51,Prefer not to say,Single,katherinegreen@example.com,629-436-3491,0337 Johnson Roads Suite 584,New Rhondaborough,SC,80632,USA,Hospital pharmacist,316534,694030,Aggressive Growth,"[""Income Generation"", ""Tax Optimization"", ""Retirement Planning""]",Birth of Child,2020-08-08 16:28:35.155,2025-03-17 19:51:34.556
CL_257866D0D1,Ryan,Smith,1984-01-29,41,Female,Divorced,kennedymarilyn@example.net,382.733.5166x95884,70528 Brown Mews,West Jacob,NM,25216,USA,Energy engineer,171419,1112894,Growth,"[""Wealth Accumulation""]",Marriage,2024-04-10 05:07:59.530,2025-02-05 01:39:16.172
CL_B7D8F51140,Justin,Rodriguez,1986-01-12,39,Prefer not to say,Divorced,richardnelson@example.net,(227)861-6156,40995 Natasha Ranch,New Megan,NH,02558,USA,Operational investment banker,362393,8431101,Moderate,"[""Education Funding"", ""Income Generation""]",Retirement,2020-09-11 01:53:15.635,2022-01-24 23:19:21.847
CL_E48590200B,John,Rogers,1994-10-16,30,Prefer not to say,Married,medinaluke@example.com,001-680-837-3097,256 Anderson Loop,Lake Ashley,AZ,98569,USA,"Social research officer, government",236063,4479580,Balanced,"[""Home Purchase"", ""Estate Planning"", ""Income Generation""]",Birth of Child,2021-01-16 13:06:40.706,2022-02-07 16:57:48.897
CL_3AED286389,Scott,Becker,1961-04-13,64,Female,Divorced,hayespatrick@example.com,001-713-238-1426x8305,596 Hall Key Suite 283,East Victoriachester,PA,51702,USA,Product designer,410654,9051472,Conservative,"[""Estate Planning"", ""Home Purchase"", ""Tax Optimization""]",,2021-06-28 06:20:43.503,2022-08-12 16:01:54.771
